ward.name,borough,inner,area,population,children,adults,elderly,age,education,crime,employed,benefits,migration,income,houseprice,cars,turnout
Tower Hamlets - St. Katherine's and Wapping,Tower Hamlets,TRUE,1.5,13600,2000,10700,900,34.3,57.8,96,7619,10.2,61.2,50770,453000,0.6,36.3
Tower Hamlets - Shadwell,Tower Hamlets,TRUE,1,15900,3700,11250,950,30.7,37.7,86.9,6534,14.8,71.6,36360,370000,0.4,38.3
Tower Hamlets - Spitalfields and Banglatown,Tower Hamlets,TRUE,0.6,11850,1650,9600,600,31.3,44.4,188.8,5055,16.2,91.7,39910,499995,0.3,31.2
Tower Hamlets - Weavers,Tower Hamlets,TRUE,0.8,15050,2500,11600,950,32.7,43.9,136.8,6693,17.7,74.6,37760,510000,0.3,39.8
Tower Hamlets - Whitechapel,Tower Hamlets,TRUE,0.9,17300,3000,13400,900,30.7,45,105.3,7530,13.6,115.3,37600,489000,0.3,34.3
Waltham Forest - Cann Hall,Waltham Forest,FALSE,0.9,14350,3200,10100,1050,32.3,30.5,61.2,6265,14.8,100,32700,326000,0.6,32
Waltham Forest - Cathall,Waltham Forest,FALSE,1.1,13300,2950,9350,1000,32.3,28.6,64.2,5715,18,127.9,30950,332500,0.5,28.3
Waltham Forest - Chapel End,Waltham Forest,FALSE,1.8,14650,3600,9750,1300,33.4,29.3,73,6595,12.2,61.3,36440,340000,0.9,33
Waltham Forest - Chingford Green,Waltham Forest,FALSE,3.7,10600,1850,6450,2300,42.3,27.1,69,4570,10.8,9.1,39280,330000,1.1,40.1
Waltham Forest - Endlebury,Waltham Forest,FALSE,2,11150,1900,7250,2000,40.2,24.7,43.9,4871,12.9,7.9,38580,310000,1.3,37.7
Waltham Forest - Forest,Waltham Forest,FALSE,2,13250,2750,9200,1300,34.2,33.3,81.6,5861,13.4,96.9,36080,401000,0.8,33.3
Waltham Forest - Grove Green,Waltham Forest,FALSE,0.9,15250,3300,10800,1150,32.9,34.8,52.4,7587,10.8,144.6,36350,308000,0.6,32
Waltham Forest - Hale End and Highams Park,Waltham Forest,FALSE,2.3,12200,2650,8050,1500,36.5,28.9,52.1,5319,13.5,20.4,39490,288747.5,1.1,37.9
Waltham Forest - Hatch Lane,Waltham Forest,FALSE,2.4,11450,2250,7350,1850,38.9,24.1,64.4,4914,16.5,10.7,36110,286500,1.1,34.4
Waltham Forest - High Street,Waltham Forest,FALSE,3.1,14850,3200,10450,1200,33.3,35.7,151.3,7146,14.1,90.6,34810,333000,0.6,29.4
Waltham Forest - Higham Hill,Waltham Forest,FALSE,3.2,14200,3500,9550,1150,32.7,24.7,67.7,5608,19.9,52.8,31270,325000,0.7,36.2
Waltham Forest - Hoe Street,Waltham Forest,FALSE,1.1,14600,3250,10100,1250,33.4,36.4,87.4,6453,18.1,80.7,34890,360000,0.6,36.4
Waltham Forest - Larkswood,Waltham Forest,FALSE,2.1,12050,2350,7850,1850,38.5,21.6,61.8,5104,14.6,18.6,35170,335000,1.1,31.6
Waltham Forest - Lea Bridge,Waltham Forest,FALSE,2.6,16200,4100,10800,1300,32.6,26.6,98.4,6671,17,100,31450,283250,0.6,31.1
Waltham Forest - Leyton,Waltham Forest,FALSE,2,15000,3700,10150,1150,32.1,28.5,88.2,5956,18.2,86.1,31040,255000,0.6,28.9
Waltham Forest - Leytonstone,Waltham Forest,FALSE,1.3,13400,2350,10000,1050,34.5,40.8,89.8,6887,13.2,102.3,38700,345000,0.7,34.7
Waltham Forest - Markhouse,Waltham Forest,FALSE,1.5,15300,3700,10400,1200,32.7,30.9,72.3,6044,17.2,90.7,33780,324000,0.6,33.3
Waltham Forest - Valley,Waltham Forest,FALSE,2,11850,2450,7750,1650,37.2,20.2,104.1,5100,15.6,22.9,34250,285000,1.1,32
Waltham Forest - William Morris,Waltham Forest,FALSE,1,13750,3250,9400,1100,33.4,33.6,55.6,6291,14.8,80.5,35070,351625,0.6,36.8
Waltham Forest - Wood Street,Waltham Forest,FALSE,1.8,14150,3450,9400,1300,34,33,74,5974,17.6,62.3,35130,387500,0.7,36.7
Wandsworth - Balham,Wandsworth,TRUE,1.2,15050,2650,11150,1250,34.2,67.6,78,9369,6.1,32,53420,595000,0.7,37.8
Wandsworth - Bedford,Wandsworth,TRUE,1.8,15050,2300,11600,1150,34.2,61.1,53.7,9077,8.1,25.6,46410,496500,0.7,38.1
Wandsworth - Earlsfield,Wandsworth,TRUE,1.4,16050,2750,12250,1050,33.1,53.8,66.1,9556,8.8,28.9,44360,541000,0.7,34.7
Wandsworth - East Putney,Wandsworth,TRUE,1.6,15850,2250,11850,1750,36.4,62.9,42.6,9292,5.5,47.2,49010,534000,0.7,34.3
Wandsworth - Fairfield,Wandsworth,TRUE,1.5,15350,2300,11950,1100,34.1,62.8,83.6,9882,6.4,27.2,48590,5.00E+05,0.7,34.1
Wandsworth - Furzedown,Wandsworth,TRUE,1.4,15850,3350,10950,1550,34.5,41,58.6,7450,12.6,43.4,38240,410000,0.7,39.9
Wandsworth - Graveney,Wandsworth,TRUE,1,15650,3000,11250,1400,33.9,44.9,100.2,8095,12.6,52.9,37960,440000,0.6,36.3
Wandsworth - Latchmere,Wandsworth,TRUE,1.1,15800,3050,11350,1400,33.6,40.7,74.6,7869,17.4,56.9,34990,398500,0.4,32.7
Wandsworth - Nightingale,Wandsworth,TRUE,1.2,14950,2750,10850,1350,35,63,64.5,8864,7.3,22.5,50790,595000,0.7,39.5
Wandsworth - Northcote,Wandsworth,TRUE,1.7,15350,3300,11050,1000,33,68.7,101.6,9397,4.5,30.3,55810,795000,0.8,37.6
Wandsworth - Queenstown,Wandsworth,TRUE,3.2,20150,3000,15650,1500,34.1,50,74.8,9607,12.6,53.2,39580,630000,0.5,31.8
Wandsworth - Roehampton,Wandsworth,TRUE,4.4,17550,3050,12850,1650,32.8,27.3,83.5,6856,17.4,73.9,30320,374950,0.6,25.3
Wandsworth - St. Mary's Park,Wandsworth,TRUE,1.4,17250,2550,12900,1800,36,52.1,76.6,9696,9.1,50.2,44720,530000,0.7,32.3
Wandsworth - Shaftesbury,Wandsworth,TRUE,0.9,14500,2150,11150,1200,34.6,61.7,79.8,9354,8,32.3,50410,7.00E+05,0.6,33.7
Wandsworth - Southfields,Wandsworth,TRUE,1.5,16800,3400,11950,1450,34.1,57.6,69.4,9716,6,28.5,48160,515250,0.7,37.2
Wandsworth - Thamesfield,Wandsworth,TRUE,1.9,15450,2650,11250,1550,35.8,68.6,96.2,9409,3.5,32.5,55380,7.00E+05,0.8,39.7
Wandsworth - Tooting,Wandsworth,TRUE,1.6,17400,3150,12650,1600,33.3,42.5,77.6,8038,12,69,36000,440500,0.6,36.4
Wandsworth - Wandsworth Common,Wandsworth,TRUE,2.8,16350,3150,11850,1350,34.6,53.9,58.8,7925,6.3,18.6,51420,568000,1,42.4
Wandsworth - West Hill,Wandsworth,TRUE,1.7,16850,3150,12150,1550,34.5,45.1,38,8595,9.7,59.7,40360,395000,0.8,32.8
Wandsworth - West Putney,Wandsworth,TRUE,1.8,15400,2750,10650,2000,36.7,48.7,51.3,7376,10.4,37.7,43280,497800,0.8,34.4
Westminster - Abbey Road,Westminster,TRUE,1.1,11500,2000,7850,1650,38.1,56.6,45.8,5233,4.6,64.8,52200,750000,0.7,34.4
Westminster - Bayswater,Westminster,TRUE,0.5,10500,1400,8000,1100,37.1,61.3,106.3,5977,8.2,97.3,49960,850000,0.4,32.7
Westminster - Bryanston and Dorset Square,Westminster,TRUE,0.7,12650,1350,9950,1350,36.6,58,170.5,6295,4.4,101.6,51370,975000,0.4,30.8
Westminster - Churchill,Westminster,TRUE,0.6,10550,1950,7350,1250,36.6,38.4,107.6,4085,14.5,37.1,39530,1100000,0.4,38.6
Westminster - Church Street,Westminster,TRUE,0.4,12000,2700,7650,1650,35.7,26.4,80.9,3744,20,68.2,26290,440000,0.3,35.2
Westminster - Harrow Road,Westminster,TRUE,0.5,12350,2350,8950,1050,34.7,39.5,67.1,5533,18.4,56.7,35000,499950,0.4,33.9
Westminster - Hyde Park,Westminster,TRUE,1,13450,1750,10400,1300,35.6,54.7,152.6,6014,5.9,83.3,46880,850000,0.5,29.1
Westminster - Knightsbridge and Belgravia,Westminster,TRUE,3.6,10100,1050,7650,1400,37.2,47.8,177.1,3947,0.5,37.5,88330,3500000,0.9,28.1
Westminster - Lancaster Gate,Westminster,TRUE,0.6,13800,1600,11050,1150,35.2,60.8,150.4,7523,6,149.1,49290,895000,0.4,27.4
Westminster - Little Venice,Westminster,TRUE,0.6,11100,2000,7900,1200,36.5,56.5,74.8,5384,9.4,52.6,48770,870000,0.6,35.7
Westminster - Maida Vale,Westminster,TRUE,0.6,10600,1900,7700,1000,35.2,52.2,59,5243,9.2,39.4,45660,773000,0.5,33.8
Westminster - Marylebone High Street,Westminster,TRUE,1,11150,1050,8850,1250,37.6,61.5,302.4,5902,3.4,84.6,58370,1090000,0.5,33
Westminster - Queen's Park,Westminster,TRUE,0.6,13100,2650,9150,1300,34.5,30.3,62.2,5088,22.8,54.3,32260,545000,0.4,35.9
Westminster - Regent's Park,Westminster,TRUE,2.3,12500,1950,8550,2000,39.1,52.2,66.6,5153,5.2,53.4,46510,942500,0.6,31.4
Westminster - St. James's,Westminster,TRUE,3.5,12100,1100,9650,1350,37.9,49.9,990,5879,8.3,69.5,52520,1262500,0.4,31.5
Westminster - Tachbrook,Westminster,TRUE,0.4,8450,850,6350,1250,40.2,55.1,57.7,4531,7.1,39.9,47340,715650,0.4,40.2
Westminster - Vincent Square,Westminster,TRUE,0.7,10550,1500,7700,1350,38.2,53.1,82.4,5023,10.2,51.9,46550,840000,0.4,37.8
Westminster - Warwick,Westminster,TRUE,0.6,9800,1050,7550,1200,38.2,58.5,138.1,5388,7.8,60,50250,857250,0.5,36.8
Westminster - Westbourne,Westminster,TRUE,0.7,13200,2750,9250,1200,34.3,35.7,75.5,5173,17.8,59.2,32390,499975,0.4,29.6
Westminster - West End,Westminster,TRUE,2,11200,950,8950,1300,38.8,54.6,1212.1,6124,8.9,76.6,54970,1487500,0.4,29.7
